created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2024-04-12T16:11:16+00:00,619,26.9,74.7,,,,
2024-04-12T16:11:32+00:00,620,26.9,74.7,,,,
2024-04-12T16:11:58+00:00,621,26.9,74.6,,,,
2024-04-12T16:12:26+00:00,622,26.8,74.6,,,,
2024-04-12T16:12:44+00:00,623,26.8,74.6,,,,
2024-04-12T16:13:04+00:00,624,26.8,74.6,,,,
2024-04-12T16:13:27+00:00,625,26.8,74.6,,,,
2024-04-12T16:14:01+00:00,626,26.8,74.6,,,,
2024-04-12T16:14:18+00:00,627,26.9,74.8,,,,
2024-04-12T16:14:46+00:00,628,26.9,74.8,,,,
2024-04-12T16:15:03+00:00,629,26.8,74.8,,,,
2024-04-12T16:15:21+00:00,630,26.8,74.8,,,,
2024-04-12T16:15:37+00:00,631,26.8,74.8,,,,
2024-04-12T16:16:24+00:00,632,26.8,74.9,,,,
2024-04-12T16:16:42+00:00,633,26.8,74.5,,,,
2024-04-12T16:17:11+00:00,634,26.9,74.7,,,,
2024-04-12T16:17:35+00:00,635,26.8,74.4,,,,
2024-04-12T16:17:52+00:00,636,26.8,74.5,,,,
2024-04-12T16:18:13+00:00,637,26.9,74.2,,,,
2024-04-12T16:18:35+00:00,638,26.7,74.0,,,,
2024-04-12T16:18:54+00:00,639,26.8,73.9,,,,
2024-04-12T16:19:44+00:00,640,26.8,74.2,,,,
2024-04-12T16:20:01+00:00,641,26.8,74.2,,,,
2024-04-12T16:20:26+00:00,642,26.8,74.2,,,,
2024-04-12T16:21:10+00:00,643,26.8,74.3,,,,
2024-04-12T16:21:46+00:00,644,26.8,74.7,,,,
2024-04-12T16:22:10+00:00,645,26.8,74.4,,,,
2024-04-12T16:23:09+00:00,646,26.8,74.6,,,,
2024-04-12T16:24:03+00:00,647,26.9,74.6,,,,
2024-04-12T16:24:23+00:00,648,26.9,74.9,,,,
2024-04-12T16:24:39+00:00,649,26.8,74.7,,,,
2024-04-12T16:25:10+00:00,650,26.9,74.2,,,,
2024-04-12T16:25:28+00:00,651,26.7,73.8,,,,
2024-04-12T16:25:55+00:00,652,26.7,73.7,,,,
2024-04-12T16:26:14+00:00,653,26.7,73.2,,,,
2024-04-12T16:26:35+00:00,654,26.6,73.0,,,,
2024-04-12T16:27:22+00:00,655,26.7,73.0,,,,
2024-04-12T16:27:39+00:00,656,26.7,73.3,,,,
2024-04-12T16:28:02+00:00,657,26.8,72.7,,,,
2024-04-12T16:28:27+00:00,658,26.7,73.0,,,,
2024-04-12T16:29:04+00:00,659,26.6,72.7,,,,
2024-04-12T16:29:20+00:00,660,26.6,72.6,,,,
2024-04-12T16:30:00+00:00,661,26.7,72.4,,,,
2024-04-12T16:30:18+00:00,662,26.6,72.6,,,,
2024-04-12T16:30:46+00:00,663,26.7,72.2,,,,
2024-04-12T16:31:17+00:00,664,26.6,72.3,,,,
2024-04-12T16:31:52+00:00,665,26.7,72.9,,,,
2024-04-12T16:32:25+00:00,666,26.8,72.5,,,,
2024-04-12T16:32:47+00:00,667,26.6,72.6,,,,
2024-04-12T16:33:05+00:00,668,26.6,72.5,,,,
2024-04-12T16:33:23+00:00,669,26.8,72.5,,,,
2024-04-12T16:33:50+00:00,670,26.8,72.4,,,,
2024-04-12T16:34:06+00:00,671,26.8,72.2,,,,
2024-04-12T16:34:33+00:00,672,26.9,72.3,,,,
2024-04-12T16:35:06+00:00,673,26.9,72.5,,,,
2024-04-12T16:35:27+00:00,674,26.8,72.1,,,,
2024-04-12T16:35:43+00:00,675,26.9,72.3,,,,
2024-04-12T16:36:09+00:00,676,26.9,72.3,,,,
2024-04-12T16:36:29+00:00,677,27.0,72.0,,,,
2024-04-12T16:36:56+00:00,678,26.9,72.1,,,,
2024-04-12T16:37:27+00:00,679,26.8,72.2,,,,
2024-04-12T16:37:47+00:00,680,26.9,72.2,,,,
2024-04-12T16:38:11+00:00,681,26.9,72.2,,,,
2024-04-12T16:38:28+00:00,682,27.0,72.1,,,,
2024-04-12T16:38:46+00:00,683,27.0,72.2,,,,
